number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0		2020-07-24 14:10:37.711433	2020-07-24 14:10:57.399428	0.7671689891305731	7.3454057200483085	64	4	0.08927469981717974	128														CUDA out of memory. Tried to allocate 8.57 GiB (GPU 0; 31.72 GiB total capacity; 19.42 GiB already allocated; 4.13 GiB free; 26.66 GiB reserved in total by PyTorch)									0	Setting status of trial#0 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
1	0.005385392123864019	2020-07-24 14:10:57.399451	2020-07-24 14:45:03.558951	0.2563597735161769	11.760868894322911	64	6	0.05312529622552295	128	0.9803154758197002	0.0011219566924716706	0.005385392123864019	0.0022439133849433412	0.003181548620794666	4694.558453943678	0.0036166108387488943	0.0011219566924716706	0.005385392123864019	0.0022439133849433412	0.003181548620794666	4694.557404112773	0.0036166114297289725		23835836.0	200.0	0.0011219566924716706	0.005385392123864019	0.0022439133849433412	0.003181548620794666	4694.5595037745825	0.0036166102511868223	1		COMPLETE
2	0.0036864291324069176	2020-07-24 14:45:03.560509	2020-07-24 15:19:51.804073	0.5886105253038721	2.5892057404127407	128	4	0.06411167057650691	128	0.8897090288690949	0.0004006988187398824	0.0036864291324069176	0.0011700405507204564	0.0020515779519481975	4257.65531887612	0.0027541925246586164	0.0004006988187398824	0.0036864291324069176	0.0011700405507204564	0.0020515779519481975	4257.65450145053	0.0027541947646306675		1207813663.0	200.0	0.0004006988187398824	0.0036864291324069176	0.0011700405507204564	0.0020515779519481975	4257.65613630171	0.0027541903073364585	2		COMPLETE
3	0.0055136157458607815	2020-07-24 15:19:51.805591	2020-07-24 15:46:00.020793	0.17352651064450547	29.595648836435696	64	10	0.08678421459327748	128	0.9577986607127249	0.0017630748024554824	0.0055136157458607815	0.002700710038306807	0.003590261415909346	4586.277307624498	0.004047339225353305	0.0017630748024554824	0.0055136157458607815	0.002700710038306807	0.003590261415909346	4586.276153611899	0.004047345833744202		1116391856.0	150.0	0.0017630748024554824	0.0055136157458607815	0.002700710038306807	0.003590261415909346	4586.2784616370955	0.004047332836867897	3		COMPLETE
4	0.004583994486384254	2020-07-24 15:46:00.022173	2020-07-24 15:55:54.844788	0.37105237323752827	15.414342909816831	128	10	0.09909355322015852	512	0.8537468215984793	0.0008574954721033483	0.004583994486384254	0.0017310188969562918	0.002612556298184033	4084.9551497812186	0.0032177926058509004	0.0008574954721033483	0.004583994486384254	0.0017310188969562918	0.002612556298184033	4084.9536551746246	0.0032177946640302617		731785731.0	150.0	0.0008574954721033483	0.004583994486384254	0.0017310188969562918	0.002612556298184033	4084.9566443878125	0.0032177905674353434	4		COMPLETE
5	0.0081742559022936	2020-07-24 15:55:54.846298	2020-07-24 16:18:00.166311	0.9795069136213803	26.256443233490813	64	8	0.037181952323929394	256	0.8534959972055599	0.0029251013768011413	0.0081742559022936	0.004319533266015932	0.005521629722235579	4083.9316568094755	0.005752306671671609	0.0029251013768011413	0.0081742559022936	0.004319533266015932	0.005521629722235579	4083.9301501819173	0.0057523072413021		2441049644.0	200.0	0.0029251013768011413	0.0081742559022936	0.004319533266015932	0.005521629722235579	4083.933163437034	0.005752306103613336	5		COMPLETE
6	0.0056979372024811275	2020-07-24 16:18:00.167682	2020-07-24 16:33:05.225081	0.7390622257031081	17.658745130614452	64	10	0.047113159935491054	256	0.9304431159475067	0.0013062781490920164	0.0056979372024811275	0.0026205702745588305	0.0035261496049109648	4454.636738471895	0.003919494703005979	0.0013062781490920164	0.0056979372024811275	0.0026205702745588305	0.0035261496049109648	4454.635500312545	0.0039194950832854725		1468713825.0	150.0	0.0013062781490920164	0.0056979372024811275	0.0026205702745588305	0.0035261496049109648	4454.637976631245	0.003919494323522208	6		COMPLETE
7	0.005241140549117661	2020-07-24 16:33:05.226683	2020-07-24 16:46:18.173823	0.23154116240742756	12.400152051995263	64	1	0.08868784260730787	256	0.7299751746891646	0.0008735234248529435	0.005241140549117661	0.001859242518953054	0.0029170874004263436	3488.5006731740154	0.0037375566010670516	0.0008735234248529435	0.005241140549117661	0.001859242518953054	0.0029170874004263436	3488.499743552756	0.003737558083501007		2643137899.0	150.0	0.0008735234248529435	0.005241140549117661	0.001859242518953054	0.0029170874004263436	3488.501602795275	0.0037375551325771403	7		COMPLETE
8	0.01097113365709798	2020-07-24 16:46:18.175157	2020-07-24 17:31:34.426731	0.18626603732095465	24.466850922530337	64	5	0.03387809439890259	128	0.6122119594293164	0.003093394880671892	0.01097113365709798	0.005241140549117661	0.007028257280697537	2922.125791380167	0.0077237466632418435	0.003093394880671892	0.01097113365709798	0.005241140549117661	0.007028257280697537	2922.124849737943	0.007723747650434581		914770445.0	250.0	0.003093394880671892	0.01097113365709798	0.005241140549117661	0.007028257280697537	2922.126733022391	0.007723745680540443	8		COMPLETE
9	0.00449584074626148	2020-07-24 17:31:34.428174	2020-07-24 17:49:44.953438	0.7930221499522286	3.144180505044102	64	8	0.09253925925818872	512	0.7537331208890178	0.00041672677148947763	0.00449584074626148	0.0012822362199676235	0.0022439133849433412	3602.863393758715	0.003321404322024893	0.00041672677148947763	0.00449584074626148	0.0012822362199676235	0.0022439133849433412	3602.8618550752512	0.00332141561518998		3821333944.0	250.0	0.00041672677148947763	0.00449584074626148	0.0012822362199676235	0.0022439133849433412	3602.864932442179	0.00332139338633885	9		COMPLETE
