number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.008293315263824647	2020-07-16 18:51:10.986625	2020-07-16 18:59:54.457725	0.8088972192894618	15.349338328096149	128	1	2	0.08392114035217284	128	0.9981369229232728	0.00667295171316619	0.008293315263824647	0.006923371534631588	0.007203252511563504	4802.438205226409	0.00773527633095367	0.00667295171316619	0.008293315263824647	0.006923371534631588	0.007203252511563504	4802.432224611849	0.007735277493024465		3570997512.0	150.0	0.00667295171316619	0.008293315263824647	0.006923371534631588	0.007203252511563504	4802.444185840969	0.007735275171073517	0		COMPLETE
1	0.0020475503049229593	2020-07-16 18:59:54.459181	2020-07-16 19:05:54.498710	0.8018489713887381	29.107452020751236	64	1	8	0.04605795471532012	256	0.9570430089369966	0.0001767669327991044	0.0020475503049229593	0.0005744925315970893	0.0008691040862622632	4604.438080016498	0.0016025960410940572	0.0001767669327991044	0.0020475503049229593	0.0005744925315970893	0.0008691040862622632	4604.435038152196	0.0016025966421174015		516994954.0	150.0	0.0001767669327991044	0.0020475503049229593	0.0005744925315970893	0.0008691040862622632	4604.4411218808	0.0016025954411854617	1		COMPLETE
2	0.0019149751053236309	2020-07-16 19:05:54.500466	2020-07-16 19:09:49.036690	0.5866166765280538	23.398181842193818	64	1	7	0.05367857106469872	512	0.873808530250498	0.00020622808826562179	0.0019149751053236309	0.0006628759979966414	0.0009574875526618154	4203.364927967475	0.0017859457523794022	0.00020622808826562179	0.0019149751053236309	0.0006628759979966414	0.0009574875526618154	4203.361915564328	0.0017859468371685622		3531182680.0	150.0	0.00020622808826562179	0.0019149751053236309	0.0006628759979966414	0.0009574875526618154	4203.367940370621	0.0017859446694627574	2		COMPLETE
3	0.0017234775947912676	2020-07-16 19:09:49.038146	2020-07-16 19:13:49.228844	0.5878894323555345	21.84182788933312	64	2	10	0.07590084918547012	512	0.8179533597117091	0.0001325751995993283	0.0017234775947912676	0.0005008396429307957	0.0009722181303950741	3934.1876160033	0.0017424934555509224	0.0001325751995993283	0.0017234775947912676	0.0005008396429307957	0.0009722181303950741	3934.172627640456	0.001742610826528632		1025984229.0	150.0	0.0001325751995993283	0.0017234775947912676	0.0005008396429307957	0.0009722181303950741	3934.202604366143	0.0017423782283640067	3		COMPLETE
4	0.007438941755295643	2020-07-16 19:13:49.230393	2020-07-16 19:22:29.345517	0.7366033809303708	4.438373044870621	128	1	5	0.05383763093023539	128	0.998732408365604	0.006643490557699673	0.007438941755295643	0.006805526912765519	0.00701175500103114	4805.228721680464	0.0074790577504097846	0.006643490557699673	0.007438941755295643	0.006805526912765519	0.00701175500103114	4805.224552926966	0.007479058911349243		4087974121.0	150.0	0.006643490557699673	0.007438941755295643	0.006805526912765519	0.00701175500103114	4805.232890433963	0.007479056591901246	4		COMPLETE
5	0.00746840291076216	2020-07-16 19:22:29.346981	2020-07-16 19:26:26.333672	0.19946497487322667	8.37788927619341	128	1	2	0.06237956029009536	512	0.9775353417108489	0.006628759979966414	0.00746840291076216	0.00679079633503226	0.00701175500103114	4703.072091447427	0.007535590451305589	0.006628759979966414	0.00746840291076216	0.00679079633503226	0.00701175500103114	4703.06960197979	0.0075355910215078314		1669424125.0	150.0	0.006628759979966414	0.00746840291076216	0.00679079633503226	0.00701175500103114	4703.074580915063	0.007535589882024694	5		COMPLETE
6	0.0020622808826562177	2020-07-16 19:26:26.335161	2020-07-16 19:35:06.672370	0.7757533537704507	22.919464661470837	64	2	1	0.0022926715291141184	128	0.8016216825886627	0.0005155702206640544	0.0020622808826562177	0.0008101817753292284	0.0012373685295937306	3855.5113867365876	0.0024094960034012286	0.0005155702206640544	0.0020622808826562177	0.0008249123530624871	0.0012373685295937306	3855.4957134018796	0.0024106417974948573		2292191858.0	150.0	0.0005155702206640544	0.0020622808826562177	0.0008101817753292284	0.0012373685295937306	3855.527060071296	0.0024085465110831542	6		COMPLETE
7	0.001222637951860472	2020-07-16 19:35:06.673924	2020-07-16 19:41:13.619125	0.22048028133454559	23.50710098170888	64	2	8	0.003378420409903951	256	1.0156883095044063	0.00010311404413281089	0.001222637951860472	0.0002798809769319153	0.0007070677311964176	4887.358608549627	0.0014012877071749722	0.00010311404413281089	0.001222637951860472	0.0002798809769319153	0.0007070677311964176	4887.334605073211	0.0014019068589581575		2778411556.0	150.0	0.00010311404413281089	0.001222637951860472	0.0002798809769319153	0.0007070677311964176	4887.382612026044	0.00140069420920454	7		COMPLETE
8		2020-07-16 19:41:13.620995	2020-07-16 19:41:16.169744	0.704423415173149	5.8244461583055696	128	1	3	0.028457187031602185	512														CUDA out of memory. Tried to allocate 4.71 GiB (GPU 0; 31.72 GiB total capacity; 17.05 GiB already allocated; 2.52 GiB free; 28.28 GiB reserved in total by PyTorch)									8	Setting status of trial#8 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
9	0.0016940164393247504	2020-07-16 19:41:16.169759	2020-07-16 19:51:40.767021	0.8416855160703013	29.569333438419587	64	2	8	0.08167239617522624	128	0.8432534736916881	0.0002798809769319153	0.0016940164393247504	0.0005155702206640544	0.0007217983089296762	4056.055460625166	0.001651186849858408	0.0002798809769319153	0.0016940164393247504	0.0005155702206640544	0.0007217983089296762	4056.038932916949	0.0016512099393920625		2092777325.0	150.0	0.0002798809769319153	0.0016940164393247504	0.0005155702206640544	0.0007217983089296762	4056.0719883333823	0.0016511640113257488	9		COMPLETE
10	0.0020475503049229593	2020-07-16 19:51:40.768509	2020-07-16 19:56:54.173747	0.2757256014608176	12.734880059276849	64	2	1	0.002964795388729376	256	0.9890059949404354	0.0002651503991986566	0.0020475503049229593	0.0006039536870636066	0.0009869487081283327	4758.819771381433	0.0017176863815256942	0.0002651503991986566	0.0020475503049229593	0.0006039536870636066	0.0009869487081283327	4758.808281530802	0.0017198414937197686		2605669067.0	150.0	0.0002651503991986566	0.0020475503049229593	0.0006039536870636066	0.0009869487081283327	4758.831261232065	0.0017161159390822332	10		COMPLETE
11	0.007851397931826886	2020-07-16 19:56:54.175191	2020-07-16 20:00:45.486155	0.7074398412243963	4.240773795455697	64	1	4	0.08155604822711651	512	0.962442438130507	0.006643490557699673	0.007851397931826886	0.006938102112364847	0.007173791356096986	4630.342441740565	0.007735765395185983	0.006643490557699673	0.007851397931826886	0.006938102112364847	0.007173791356096986	4630.3403794596825	0.007735765727260981		4128375543.0	150.0	0.006643490557699673	0.007851397931826886	0.006938102112364847	0.007173791356096986	4630.344504021447	0.007735765063787437	11		COMPLETE
12		2020-07-16 20:00:45.487708	2020-07-16 20:00:48.079362	0.309170395273183	17.073732466981312	128	2	3	0.014428468803834554	512														CUDA out of memory. Tried to allocate 4.71 GiB (GPU 0; 31.72 GiB total capacity; 17.05 GiB already allocated; 2.52 GiB free; 28.28 GiB reserved in total by PyTorch)									12	Setting status of trial#12 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
13		2020-07-16 20:00:48.079377	2020-07-16 20:00:51.881576	0.9797789140415634	17.748843901009565	128	1	5	0.0510794041437083	256														CUDA out of memory. Tried to allocate 4.71 GiB (GPU 0; 31.72 GiB total capacity; 17.05 GiB already allocated; 2.52 GiB free; 28.28 GiB reserved in total by PyTorch)									13	Setting status of trial#13 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
14	0.0015467106619921633	2020-07-16 20:00:51.881592	2020-07-16 20:04:21.429645	0.6544693039971023	28.01168231492597	64	2	1	0.05360285551406906	512	0.817361464552808	0.00010311404413281089	0.0015467106619921633	0.00042718675426450223	0.0007659900421294523	3931.3517146392483	0.0016395458997133343	0.00010311404413281089	0.0015467106619921633	0.00042718675426450223	0.0007659900421294523	3931.334384114545	0.0016396364911791057		3320823515.0	150.0	0.00010311404413281089	0.0015467106619921633	0.00042718675426450223	0.0007659900421294523	3931.3690451639513	0.0016394569665078198	14		COMPLETE
15	0.009059305305954099	2020-07-16 20:04:21.431200	2020-07-16 20:10:24.811976	0.7366214755070916	14.681955845521443	64	1	10	0.009678896929017057	256	0.8399631036983196	0.006746604601832484	0.009059305305954099	0.0072916359779630555	0.00780720619862711	4040.5047285154524	0.008537335443210827	0.006746604601832484	0.009059305305954099	0.0072916359779630555	0.00780720619862711	4040.5025925816813	0.00853733590768654		604550697.0	150.0	0.006746604601832484	0.009059305305954099	0.0072916359779630555	0.00780720619862711	4040.5068644492235	0.008537334979743653	15		COMPLETE
16		2020-07-16 20:10:24.813777	2020-07-16 20:10:28.168954	0.7105745169160558	10.71668825747487	128	2	1	0.021274621164228118	256														CUDA out of memory. Tried to allocate 4.71 GiB (GPU 0; 31.72 GiB total capacity; 17.05 GiB already allocated; 2.52 GiB free; 28.28 GiB reserved in total by PyTorch)									16	Setting status of trial#16 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
17		2020-07-16 20:10:28.168970	2020-07-16 20:10:31.982268	0.30616784019205545	12.79594347048412	128	1	7	0.018800799319935554	256														CUDA out of memory. Tried to allocate 4.71 GiB (GPU 0; 31.72 GiB total capacity; 17.05 GiB already allocated; 2.52 GiB free; 28.28 GiB reserved in total by PyTorch)									17	Setting status of trial#17 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
18		2020-07-16 20:10:31.982284	2020-07-16 20:10:34.600735	0.7182038504852795	19.197939164281635	128	2	2	0.06413681606378652	512														CUDA out of memory. Tried to allocate 4.71 GiB (GPU 0; 31.72 GiB total capacity; 17.05 GiB already allocated; 2.52 GiB free; 28.28 GiB reserved in total by PyTorch)									18	Setting status of trial#18 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
19		2020-07-16 20:10:34.600752	2020-07-16 20:10:38.533319	0.4414328680908519	9.948851854877583	128	2	10	0.0019150522061336345	256														CUDA out of memory. Tried to allocate 4.71 GiB (GPU 0; 31.72 GiB total capacity; 17.05 GiB already allocated; 2.52 GiB free; 28.28 GiB reserved in total by PyTorch)									19	Setting status of trial#19 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
